"DGHV, time(s)"					
parameters	addition	multiplication	expend	ciphertext-refresh	
L0	0.000072	0.028739	5.791882	9.806464	
L1	0.00007000	0.03940550	7.640000	11.9895430	
L2	0.000107	0.043375	9.0076670	15.022596	
L3	0.000163	0.055618	11.313230	20.049920
L4	0.000192	0.076652	15.104520	26.713939	
					
"CMNT, time(s)"					
parameters	addition	multiplication	expend	ciphertext-refresh	
L0	0.000082	0.029000	6.894200	9.884683	
L1	0.00006975	0.03901875	9.167890	11.9773050	
L2	0.000100	0.042815	10.711718	14.625131	
L3	0.000152	0.058300	13.289593	19.332444
L4	0.000196	0.076417	18.352721	25.024420	
					
"CNT, time(s)"					
parameters	addition	ciphertext-refresh(modulus-switching)
L0	0.000088	0.030152	10.3821
					

